ds,yhat,Utilization %,Utilization Status
2022-12-13,352.63701362980146,7.052740272596029,Underutilized
2022-12-14,346.5675015926915,6.931350031853829,Underutilized
2022-12-15,331.71481517978657,6.634296303595731,Underutilized
2022-12-16,317.5044197359982,6.350088394719965,Underutilized
2022-12-17,318.56786313764144,6.371357262752829,Underutilized
2022-12-18,305.84899382761597,6.116979876552319,Underutilized
2022-12-19,588.0810951845488,11.761621903690974,Underutilized
2022-12-20,277.20028492529866,5.544005698505973,Underutilized
2022-12-21,217.68151811952353,4.35363036239047,Underutilized
2022-12-22,255.51604951775403,5.11032099035508,Underutilized
2022-12-23,474.2839745443944,9.485679490887888,Underutilized
2022-12-24,478.67587789213314,9.573517557842663,Underutilized
2022-12-25,712.0561873638696,14.241123747277392,Underutilized
2022-12-26,1019.8827465436275,20.397654930872548,Underutilized
2022-12-27,1047.1631426619097,20.943262853238192,Underutilized
2022-12-28,1360.3870433280679,27.20774086656136,Underutilized
2022-12-29,2332.7025179170687,46.65405035834137,Underutilized
2022-12-30,1949.4965306528534,38.98993061305707,Underutilized
2022-12-31,1996.5650220364305,39.93130044072861,Underutilized
2023-01-01,1744.6847338680611,34.89369467736122,Underutilized
2023-01-02,1225.4734190570828,24.509468381141655,Underutilized
2023-01-03,1130.6081285072125,22.61216257014425,Underutilized
2023-01-04,848.5412216960503,16.970824433921006,Underutilized
